UUID,Date,Sentiment_score,Lsa_summary
45676843-a1a4-4b6e-a19e-2e92f6dd9f73,2023-10-24T08:00:00.000+08:00,1,"Morgan Stanley Maintains Alcoa (AA) Underweight Recommendation. Fintel reports that on October 24, 2023, Morgan Stanley maintained coverage of Alcoa (NYSE:AA) with a Underweight recommendation."
09627b69-e471-48e8-88d0-170f4beb3258,2023-10-22T08:00:00.000+08:00,2,"Alcoa Corp Shares Close in on 52-Week Low - Market Mover. Alcoa Corp (AA) shares closed today at 0.6% above its 52 week low of $23.26, giving the company a market cap of $4B. This week, the Dow Jones Industrial Average fell 1.6%, and the S&P 500 fell 2.4%."
9e894904-e8d7-4adc-8894-024449b2ea6a,2023-10-20T08:00:00.000+08:00,3,"B. Riley Securities Maintains Alcoa (AA) Neutral Recommendation. Fintel reports that on October 20, 2023, B. Riley Securities maintained coverage of Alcoa (NYSE:AA) with a Neutral recommendation."
700c5353-fc6a-48e4-b4db-b8c29c180f41,2023-10-20T08:00:00.000+08:00,4,"Citigroup Maintains Alcoa (AA) Buy Recommendation. Fintel reports that on October 20, 2023, Citigroup maintained coverage of Alcoa (NYSE:AA) with a Buy recommendation."
d2f21709-b06c-44aa-8fd0-763e368cd714,2023-10-19T08:00:00.000+08:00,3,"JP Morgan Maintains Alcoa (AA) Neutral Recommendation. Fintel reports that on October 19, 2023, JP Morgan maintained coverage of Alcoa (NYSE:AA) with a Neutral recommendation."
024572ad-4ab8-402a-8e08-4a7d757b7c0d,2023-10-19T08:00:00.000+08:00,2,"BMO Capital Maintains Alcoa (AA) Market Perform Recommendation. Fintel reports that on October 19, 2023, BMO Capital maintained coverage of Alcoa (NYSE:AA) with a Market Perform recommendation."
236b149c-b3b0-4f7a-aab4-4144e154da92,2023-10-19T08:00:00.000+08:00,1,"That number works out to 73.3% of MIDD's average daily trading volume over the past month, of 378,085 shares. Especially high volume was seen for the $100 strike put option expiring March 15, 2024, with 2,228 contracts trading so far today, representing approximately 222,800 underlying shares of MIDD. Below is a chart showing MIDD's trailing twelve month trading history, with the $100 strike highlighted in orange:"
2f478d84-01d0-49d6-a712-ce3240a252dc,2023-10-18T08:00:00.000+08:00,3,"Alcoa Corp Shares Fall 5.3% Below Previous 52-Week Low - Market Mover. Alcoa Corp (AA) shares closed 5.3% lower than its previous 52 week low, giving the company a market cap of $4B. This week, the Dow Jones Industrial Average fell 0.4%, and the S&P 500 fell 1.4%."
96560f3c-0e7c-4823-a44c-905ebcd8a281,2023-10-18T08:00:00.000+08:00,4,"Alcoa (AA) Reports Q3 Loss, Tops Revenue Estimates. Alcoa (AA) came out with a quarterly loss of $1.14 per share versus the Zacks Consensus Estimate of a loss of $1.13. This compares to loss of $0.33 per share a year ago."
832f1d66-ea99-4c5f-a1bf-65f7f1044c82,2023-10-18T08:00:00.000+08:00,5,"Alcoa Corp. Q3 Loss Decreases, but misses estimates. (RTTNews) - Alcoa Corp. (AA) announced Loss for third quarter that decreased from last year and beat the Street estimates."
f26d8a59-bd7d-434a-a11c-8a0cc1a5ed63,2023-10-18T08:00:00.000+08:00,2,"Alcoa Q3 23 Earnings Conference Call At 5:00 PM ET. (RTTNews) - Alcoa Corp. (AA) will host a conference call at 5:00 PM ET on Oct. 18, 2023, to discuss Q3 23 earnings results."
9bbe1f22-7d10-452c-b151-55b826768f04,2023-10-13T08:00:00.000+08:00,3,"It’s the unofficial start to Q3 earnings season with the morning releases of some of the biggest banks on Wall Street. Traditionally, earnings season didn’t kick off until Alcoa (AA) reported, but they’re not scheduled until next Wednesday. In any case, we’re happy we’re here; we can finally get a good glimpse at how the past quarter went, and how the full year is expected to finish."
fae180be-bfab-4468-a6ad-b2ecb0ba5512,2023-10-13T08:00:00.000+08:00,1,"Alcoa (AA) Declines More Than Market: Some Information for Investors. Alcoa (AA) ended the recent trading session at $26.58, demonstrating a -1.19% swing from the preceding day's closing price. At the same time, the Dow added 0.12%, and the tech-heavy Nasdaq lost 1.23%."
28806e4e-7f90-41c1-babb-595dedceccce,2023-10-13T08:00:00.000+08:00,4,"What's in the Offing for Alcoa (AA) This Earnings Season?. Alcoa Corporation AA is scheduled to release third-quarter 2023 results on Oct 18, after market close."
517f121b-5fcd-46a1-96ed-5c0bc18bfd93,2023-10-13T08:00:00.000+08:00,3,"It’s the unofficial start to Q3 earnings season with the morning releases of some of the biggest banks on Wall Street. Traditionally, earnings season didn’t kick off until Alcoa AA reported, but they’re not scheduled until next Wednesday. In any case, we’re happy we’re here; we can finally get a good glimpse at how the past quarter went, and how the full year is expected to finish."
3f6e0691-d94e-4538-92c2-68b49871b38b,2023-10-11T08:00:00.000+08:00,2,"Alcoa (NYSE:AA) is expected to publish its Q3 2023 results around October 18, reporting on a quarter that saw aluminum prices trend lower. We estimate that the company will post a net loss of about -$0.90 per share, slightly better than the consensus, although this would mark a decline from last year. See our interactive dashboard analysis on Alcoa Earnings Preview for more details on how AA’s revenues and earnings are likely to trend for the quarter."
11367185-a802-4b37-8d10-aaaa750cd1ea,2023-10-11T08:00:00.000+08:00,1,"Analysts Estimate Alcoa (AA) to Report a Decline in Earnings: What to Look Out for. The market expects Alcoa (AA) to deliver a year-over-year decline in earnings on lower revenues when it reports results for the quarter ended September 2023. This widely-known consensus outlook is important in assessing the company's earnings picture, but a powerful factor that might influence its near-term stock price is how the actual results compare to these estimates."
455c1a9a-25e9-446e-b7eb-d9d44d9440d8,2023-10-11T08:00:00.000+08:00,3,"AZZ's Q2 Earnings Surpass Estimates, Sales Decrease Y/Y. AZZ Inc. AZZ reported second-quarter fiscal 2024 (ended Aug 31, 2023) adjusted earnings of $1.27 per share, which surpassed the Zacks Consensus Estimate of 82 cents by 54.9%. The bottom line also increased 5% from the year-ago quarter’s earnings."
3c757246-ce4b-4fcc-b08b-51c94e94bfe3,2023-10-06T08:00:00.000+08:00,4,"That number works out to 45% of SP's average daily trading volume over the past month, of 317,600 shares. Particularly high volume was seen for the $50 strike put option expiring October 20, 2023, with 414 contracts trading so far today, representing approximately 41,400 underlying shares of SP. Below is a chart showing SP's trailing twelve month trading history, with the $50 strike highlighted in orange:"
943a6bae-d412-4b3f-b20a-352c164cdfb7,2023-10-05T08:00:00.000+08:00,5,"Jefferies Maintains Alcoa (AA) Buy Recommendation. Fintel reports that on October 4, 2023, Jefferies maintained coverage of Alcoa (NYSE:AA) with a Buy recommendation."
cb141b77-3c12-474c-a610-95ead74b6cbe,2023-10-04T08:00:00.000+08:00,2,"3 Long-Term Stocks Ready to Take Off Soon. InvestorPlace - Stock Market News, Stock Advice & Trading Tips"
4bf2edaa-f5c7-43a1-860f-7988d84d34c2,2023-10-04T08:00:00.000+08:00,1,"Alcoa (AA) Stock Slides as Market Rises: Facts to Know Before You Trade. Alcoa (AA) closed the most recent trading day at $27.16, moving -1.77% from the previous trading session. Meanwhile, the Dow experienced a rise of 0.39%, and the technology-dominated Nasdaq saw an increase of 1.35%."
65dabd4a-5a4c-4a0e-83da-32b9705ed285,2023-09-26T08:00:00.000+08:00,3,"Company News for Sep 26, 2023. Amazon.com Inc.’s (AMZN) shares gained 1.7% after the company decided to invest $ 4 billion in AI startup Anthropic."
ffbdaf25-74a1-4801-ad88-e59cd42a61d1,2023-09-25T08:00:00.000+08:00,4,"Alcoa Promotes William Oplinger To CEO. (RTTNews) - Alcoa Corp (AA), aluminum manufacturer, announced on Monday that it has appointed William Oplinger as its president and chief executive officer, effective September 24."
6fd82cd7-505a-4c95-ab9d-6dc43dbf0e9a,2023-09-25T08:00:00.000+08:00,5,"Alcoa appoints insider William Oplinger as CEO. Sept 25 (Reuters) - Alcoa AA.N said on Monday it has appointed internal candidate William Oplinger as chief executive officer and president, effective Sept. 24, 2023."
d3aa64e3-0eed-496a-9048-3e64cc55af89,2023-09-25T08:00:00.000+08:00,1,Alcoa Slides 5% In Morning Trade. (RTTNews) - Alcoa Corp. (AA) shares are declining more than 4 percent on Monday morning trade.
28eded58-ed7e-4233-8614-eadc5ce520aa,2023-09-25T08:00:00.000+08:00,3,"That amounts to about 46.9% of AA's average daily trading volume over the past month of 6.2 million shares. Particularly high volume was seen for the $27 strike call option expiring September 29, 2023, with 1,340 contracts trading so far today, representing approximately 134,000 underlying shares of AA. Below is a chart showing AA's trailing twelve month trading history, with the $27 strike highlighted in orange:"
502b3da9-b8d9-4e2b-b3a3-eba979955a38,2023-09-25T08:00:00.000+08:00,4,Alcoa appoints insider William Oplinger as CEO. Adds details in paragraphs 2-3
3ed88618-1c9e-44e5-80b2-33c0b58b1ce8,2023-09-21T08:00:00.000+08:00,2,"Morgan Stanley Maintains Alcoa (AA) Underweight Recommendation. Fintel reports that on September 21, 2023, Morgan Stanley maintained coverage of Alcoa (NYSE:AA) with a Underweight recommendation."
90749b02-3ac3-4f18-a960-bcceb5561190,2023-09-18T08:00:00.000+08:00,4,"Don?t Ignore These 2 Industrial Products Stocks Set to Beat Earnings. Earnings are arguably the most important single number on a company's quarterly financial report. Wall Street clearly dives into all of the other metrics and management's input, but the EPS figure helps cut through all the noise."
27dbb2e2-e89c-495b-8f76-4de550cbfcda,2023-09-15T08:00:00.000+08:00,2,"That number works out to 52.8% of TDOC's average daily trading volume over the past month, of 3.4 million shares. Particularly high volume was seen for the $20 strike call option expiring October 20, 2023, with 1,532 contracts trading so far today, representing approximately 153,200 underlying shares of TDOC. Below is a chart showing TDOC's trailing twelve month trading history, with the $20 strike highlighted in orange:"
178fce7b-faf7-4eb8-8d33-2ab7eff48828,2023-09-15T08:00:00.000+08:00,3,"JP Morgan Maintains Alcoa (AA) Neutral Recommendation. Fintel reports that on September 15, 2023, JP Morgan maintained coverage of Alcoa (NYSE:AA) with a Neutral recommendation."
cbbd1fd1-c2b2-4354-8840-c7526015f60f,2023-09-12T08:00:00.000+08:00,3,"Alcoa (AA) Dips More Than Broader Markets: What You Should Know. In the latest trading session, Alcoa (AA) closed at $28.20, marking a -1.67% move from the previous day. This change lagged the S&P 500's 0.57% loss on the day."
483ba031-dabf-4b36-ab2d-5bd99715524a,2023-09-12T08:00:00.000+08:00,4,"1 Stock to Buy Now for the Aluminum Price Recovery. This year has not been a good one for aluminum prices (ALU23). The aluminum futures benchmark on the London Metal Exchange has fallen nearly a fifth since its January peak, and more than 40% from last year’s highs — largely due to economic weakness in Europe and the U.S., and poor construction demand in China."
5b77481a-9760-42e1-ab7d-e53ec3e6e92c,2023-09-07T08:00:00.000+08:00,1,"AA October 27th Options Begin Trading. Investors in Alcoa Corporation (Symbol: AA) saw new options begin trading today, for the October 27th expiration. At Stock Options Channel, our YieldBoost formula has looked up and down the AA options chain for the new October 27th contracts and identified one put and one call contract of particular interest."
bbd8f133-2238-4bf1-9cf6-b0bf3f2493ad,2023-09-06T08:00:00.000+08:00,2,"Alcoa (AA) Stock Moves -0.3%: What You Should Know. In the latest trading session, Alcoa (AA) closed at $30.20, marking a -0.3% move from the previous day. This change was narrower than the S&P 500's daily loss of 0.7%."
51a9f1e5-c0f3-4aed-b3d8-cd79ca71c6cc,2023-08-30T08:00:00.000+08:00,1,"Unusual Put Option Trade in Alcoa (AA) Worth $6,252.50K. On August 30, 2023 at 13:22:59 ET an unusually large $6,252.50K block of Put contracts in Alcoa (AA) was sold, with a strike price of $60.00 / share, expiring in 142 day(s) (on January 19, 2024). Fintel tracks all large options trades, and the premium spent on this trade was 6.77 sigmas above the mean, placing it in the 100.00th percentile of all recent large trades made in AA options."
f9812a9d-f948-4b5d-a7f8-5fb397be22d3,2023-08-30T08:00:00.000+08:00,3,"Alcoa (AA) Stock Sinks As Market Gains: What You Should Know. In the latest trading session, Alcoa (AA) closed at $29.51, marking a -0.34% move from the previous day. Elsewhere, the Dow gained 0.11%, while the tech-heavy Nasdaq added 0.54%."
a756d4d5-2e32-485d-9c37-194da5215070,2023-08-29T08:00:00.000+08:00,4,"That amounts to about 47% of U's average daily trading volume over the past month of 9.0 million shares. Especially high volume was seen for the $35 strike put option expiring September 01, 2023, with 3,029 contracts trading so far today, representing approximately 302,900 underlying shares of U. Below is a chart showing U's trailing twelve month trading history, with the $35 strike highlighted in orange:"
6546f530-4fbb-4569-b98d-723cc1e60df3,2023-08-25T08:00:00.000+08:00,5,"Global aluminium producer seeks Q4 premium of $120/T from Japan buyers-sources. TOKYO, Aug 25 (Reuters) - A global aluminium producer has offered Japanese buyers a premium of $120 per metric ton for October-December primary metal shipments, down 6% from the current quarter, three sources directly involved in quarterly pricing talks said on Friday."
018f3e80-6b13-4713-9c72-4c05fa3cf567,2023-08-24T08:00:00.000+08:00,2,"Interesting AA Put And Call Options For October 6th. Investors in Alcoa Corporation (Symbol: AA) saw new options begin trading today, for the October 6th expiration. At Stock Options Channel, our YieldBoost formula has looked up and down the AA options chain for the new October 6th contracts and identified one put and one call contract of particular interest."
98a11971-6dc7-47c6-a2f0-747148a2af53,2023-08-24T08:00:00.000+08:00,1,"Alcoa (AA) Stock Moves -0.21%: What You Should Know. In the latest trading session, Alcoa (AA) closed at $28.75, marking a -0.21% move from the previous day. This move was narrower than the S&P 500's daily loss of 1.35%."
15e1980b-ef8b-4729-8604-71b066d2aa31,2023-08-22T08:00:00.000+08:00,3,"In trading on Tuesday, shares of Alcoa Corporation (Symbol: AA) entered into oversold territory, changing hands as low as $28.33 per share. We define oversold territory using the Relative Strength Index, or RSI, which is a technical analysis indicator used to measure momentum on a scale of zero to 100. A stock is considered to be oversold if the RSI reading falls below 30."
9ca9b629-3d59-446a-aae9-d5ca56224824,2023-08-16T08:00:00.000+08:00,4,"That amounts to about 49.1% of U's average daily trading volume over the past month of 10.5 million shares. Particularly high volume was seen for the $37 strike call option expiring August 18, 2023, with 17,983 contracts trading so far today, representing approximately 1.8 million underlying shares of U. Below is a chart showing U's trailing twelve month trading history, with the $37 strike highlighted in orange:"
1f1a2e3f-b8b9-4e19-b547-0450e796e78d,2023-08-03T08:00:00.000+08:00,5,COLUMN-Rio Tinto counts the cost of producing green aluminium: Andy Home. By Andy Home
fb7f6114-e1c0-4b15-8483-0eb9c06ecaf4,2023-08-03T08:00:00.000+08:00,1,"Alcoa (AA) Price Target Decreased by 14.12% to 39.86. The average one-year price target for Alcoa (NYSE:AA) has been revised to 39.86 / share. This is an decrease of 14.12% from the prior estimate of 46.42 dated July 5, 2023."
42531623-ed15-427d-b31c-c4586d23478e,2023-08-03T08:00:00.000+08:00,3,"Ex-Dividend Reminder: National Instruments Corp., Kennametal and Alcoa Corporation. Looking at the universe of stocks we cover at Dividend Channel, on 8/7/23, National Instruments Corp. (Symbol: NATI), Kennametal Inc. (Symbol: KMT), and Alcoa Corporation (Symbol: AA) will all trade ex-dividend for their respective upcoming dividends. As a percentage of NATI's recent stock price of $59.10, this dividend works out to approximately 0.47%, so look for shares of National Instruments Corp. to trade 0.47% lower — all else being equal — when NATI shares open for trading on 8/7/23."
89225805-a5a8-48e1-ac95-43cc225ca2c8,2023-08-03T08:00:00.000+08:00,4,"Below is Validea's guru fundamental report for ALCOA CORP (AA). Of the 22 guru strategies we follow, AA rates highest using our Price/Sales Investor model based on the published strategy of Kenneth Fisher. This value strategy rewards stocks with low P/S ratios, long-term profit growth, strong free cash flow and consistent profit margins."
f5d8c018-b5cf-49e4-885e-9137fdd180d6,2023-08-03T08:00:00.000+08:00,5,COLUMN-Rio Tinto counts the cost of producing green aluminium: Andy Home. By Andy Home
590c66a9-65bc-43c2-a0a1-b75dff999e5b,2023-07-31T08:00:00.000+08:00,1,"That amounts to about 54.3% of MRVL's average daily trading volume over the past month of 10.0 million shares. Particularly high volume was seen for the $76 strike call option expiring August 18, 2023, with 24,174 contracts trading so far today, representing approximately 2.4 million underlying shares of MRVL. Below is a chart showing MRVL's trailing twelve month trading history, with the $76 strike highlighted in orange:"
ff115f2e-70ad-41b2-b4e7-46d3716b7a4b,2023-07-26T08:00:00.000+08:00,2,"Morgan Stanley Maintains Alcoa (AA) Underweight Recommendation. Fintel reports that on July 25, 2023, Morgan Stanley maintained coverage of Alcoa (NYSE:AA) with a Underweight recommendation."
7ba3b83d-e201-49a3-b69a-293e865bafed,2023-07-25T08:00:00.000+08:00,4,"Tuesday Sector Leaders: Computer Peripherals, Non-Precious Metals & Non-Metallic Mining Stocks. In trading on Tuesday, computer peripherals shares were relative leaders, up on the day by about 3.6%. Leading the group were shares of Logitech International, up about 13.6% and shares of Xerox Holdings up about 8% on the day."
309b9463-375e-4260-90e9-c38e07b74a30,2023-07-22T08:00:00.000+08:00,3,"B. Riley Securities Maintains Alcoa (AA) Neutral Recommendation. Fintel reports that on July 21, 2023, B. Riley Securities maintained coverage of Alcoa (NYSE:AA) with a Neutral recommendation."
109883bd-2e2e-49a2-bb06-25d452590afa,2023-07-22T08:00:00.000+08:00,5,"Citigroup Maintains Alcoa (AA) Buy Recommendation. Fintel reports that on July 21, 2023, Citigroup maintained coverage of Alcoa (NYSE:AA) with a Buy recommendation."
7428b85f-9e89-4d71-b3e0-fc7d1f4e73d6,2023-07-20T08:00:00.000+08:00,1,"Credit Suisse Maintains Alcoa (AA) Outperform Recommendation. Fintel reports that on July 20, 2023, Credit Suisse maintained coverage of Alcoa (NYSE:AA) with a Outperform recommendation."
a03f9bd2-13db-410b-a9f8-4aabab597067,2023-07-20T08:00:00.000+08:00,1,"BMO Capital Maintains Alcoa (AA) Market Perform Recommendation. Fintel reports that on July 20, 2023, BMO Capital maintained coverage of Alcoa (NYSE:AA) with a Market Perform recommendation."
39f4f465-4e85-4b09-b403-21974302f8d6,2023-07-20T08:00:00.000+08:00,4,"That number works out to 89.4% of MAXN's average daily trading volume over the past month, of 1.1 million shares. Especially high volume was seen for the $30 strike call option expiring August 18, 2023, with 7,288 contracts trading so far today, representing approximately 728,800 underlying shares of MAXN. Below is a chart showing MAXN's trailing twelve month trading history, with the $30 strike highlighted in orange:"
d452261d-c682-4b7a-a418-2873fdfa4349,2023-07-19T08:00:00.000+08:00,3,"Alcoa (AA) Reports Q2 Loss, Tops Revenue Estimates. Alcoa (AA) came out with a quarterly loss of $0.35 per share versus the Zacks Consensus Estimate of a loss of $0.59. This compares to earnings of $2.67 per share a year ago."
98948714-5d8d-4cff-8726-f8d91a03c81b,2023-07-19T08:00:00.000+08:00,2,Alcoa Corp. Q2 Earnings Summary. (RTTNews) - Below are the earnings highlights for Alcoa Corp. (AA):
f48ca3a6-0b13-4753-b740-b7c1a5173f7f,2023-07-19T08:00:00.000+08:00,1,"Alcoa Q2 23 Earnings Conference Call At 5:00 PM ET. (RTTNews) - Alcoa Corp. (AA) will host a conference call at 5:00 PM ET on July 19, 2023, to discuss Q2 23 earnings results."
096e4c08-d58c-44ce-9eab-5208e4ed30e6,2023-07-17T08:00:00.000+08:00,2,"Analysts Anticipate XME To Hit $61. Looking at the underlying holdings of the ETFs in our coverage universe at ETF Channel, we have compared the trading price of each holding against the average analyst 12-month forward target price, and computed the weighted average implied analyst target price for the ETF itself. For the SPDR S&P Metals & Mining ETF (Symbol: XME), we found that the implied analyst target price for the ETF based upon its underlying holdings is $60.85 per unit."
0dd15eb3-4556-479f-bbc4-35edfe892c6a,2023-07-14T08:00:00.000+08:00,3,Stocks Post Moderate Gains on Positive Q2 Bank Earnings. What you need to know…
dff8888a-24e4-40f6-8046-c4c5d45e1da5,2023-07-14T08:00:00.000+08:00,3,Stocks Mixed After Positive Q2 Bank Earnings. What you need to know…
e70f3d89-d4b3-4998-ba98-a7e89f1dc820,2023-07-14T08:00:00.000+08:00,4,Markets Today: Stocks Push Higher as Positive Q2 Bank Earnings Roll In. Morning Markets
726d3233-3fa4-4213-945c-208b043999a3,2023-07-14T08:00:00.000+08:00,5,1 Dividend Stock Down 64% You'll Regret Not Buying on the Dip. Fool.com contributor Parkev Tatevosian highlights one dividend stock that could make an excellent addition to long-term investors' portfolios.
e9c0ffda-c365-4a90-8862-3f5da8d0ebc0,2023-07-13T08:00:00.000+08:00,1,"September 1st Options Now Available For Alcoa (AA). Investors in Alcoa Corporation (Symbol: AA) saw new options begin trading today, for the September 1st expiration. At Stock Options Channel, our YieldBoost formula has looked up and down the AA options chain for the new September 1st contracts and identified one put and one call contract of particular interest."
fdef7dbd-ffe3-466e-97a4-24fd42a0b1f9,2023-07-12T08:00:00.000+08:00,2,"Alcoa (NYSE:AA) is expected to publish its Q2 2023 results on July 19 reporting on a quarter that saw aluminum prices trend lower. We expect the company’s revenues to come in at about $2.72 billion, marginally ahead of the consensus estimates. We estimate that the company will post a net loss of about -$0.30 per share, roughly in line with the consensus, although this would mark a sharp decline from last year."
5ae478cd-4968-4b44-9e6b-54d9b682fa80,2023-07-12T08:00:00.000+08:00,3,"Morgan Stanley Reiterates Alcoa (AA) Underweight Recommendation. Fintel reports that on July 12, 2023, Morgan Stanley reiterated coverage of Alcoa (NYSE:AA) with a Underweight recommendation."
384c0134-8984-4bf9-8cc2-5008288195ad,2023-07-12T08:00:00.000+08:00,4,"Morgan Stanley Reiterates Alcoa (AA) Underweight Recommendation. Fintel reports that on July 12, 2023, Morgan Stanley reiterated coverage of Alcoa (NYSE:AA) with a Underweight recommendation."
